C0-56-27-18-69-66,C0-56-27-18-69-64,C0-56-27-1B-F3-F5,D8-84-66-13-10-00,D8-84-66-13-10-08,D8-84-66-12-51-60,C0-56-27-18-69-65,C0-56-27-1B-9D-C5,loc
-44.0,-44.111111111111114,-44.75,-44.0,-49.44444444444444,-51.888888888888886,-54.666666666666664,-57.333333333333336,1
-44.0,-44.0,-44.625,-45.25,-49.44444444444444,-52.0,-55.0,-57.22222222222222,1
-44.142857142857146,-44.0,-42.666666666666664,-45.42857142857143,-49.333333333333336,-52.0,-54.5,-57.22222222222222,1
-44.333333333333336,-44.0,-44.4,-45.0,-49.55555555555556,-52.0,-55.0,-57.333333333333336,1
-44.166666666666664,-44.375,-44.0,-45.625,-49.44444444444444,-51.44444444444444,,-57.22222222222222,1
-45.833333333333336,-43.857142857142854,-44.142857142857146,-45.875,-49.333333333333336,-51.666666666666664,,-57.55555555555556,1
-44.2,-43.833333333333336,-42.8,-45.166666666666664,-49.625,-51.75,,-57.111111111111114,1
-45.6,-45.0,-45.666666666666664,-46.6,-49.77777777777778,-51.77777777777778,,-57.44444444444444,1
-44.285714285714285,-44.0,-44.2,-45.5,-49.333333333333336,-51.77777777777778,,-57.44444444444444,1
-44.25,-44.0,-46.0,-45.333333333333336,-49.77777777777778,-51.77777777777778,-55.0,-57.625,1
-44.5,-44.125,-43.8,-44.666666666666664,-49.55555555555556,-51.77777777777778,-54.5,-57.666666666666664,1
-44.5,-44.125,-43.285714285714285,-46.0,-49.57142857142857,-51.75,-55.0,-57.44444444444444,1
-46.57142857142857,-43.77777777777778,-44.333333333333336,-46.0,-49.44444444444444,-51.55555555555556,,-57.666666666666664,1
-47.0,-44.0,-43.2,-46.166666666666664,-49.44444444444444,-51.55555555555556,,-57.666666666666664,1
-44.714285714285715,-44.125,-44.0,-46.285714285714285,-49.55555555555556,-51.77777777777778,-54.5,-57.44444444444444,1
-44.375,-44.0,-45.0,-44.75,-49.625,-51.666666666666664,-55.0,-57.666666666666664,1
-44.333333333333336,-44.285714285714285,-45.875,-44.833333333333336,-49.333333333333336,-51.77777777777778,-54.5,-57.44444444444444,1
-45.25,-44.0,-45.0,-44.25,-49.333333333333336,-51.77777777777778,,-57.333333333333336,1
-44.333333333333336,-44.5,-45.5,-44.333333333333336,-49.77777777777778,-51.77777777777778,-55.0,-57.22222222222222,1
-46.0,-44.166666666666664,-45.0,-46.2,-49.888888888888886,-51.55555555555556,,-57.111111111111114,1
-44.111111111111114,-43.857142857142854,-45.666666666666664,-46.0,-49.77777777777778,-51.333333333333336,,-57.666666666666664,1
-43.5,-43.333333333333336,-45.666666666666664,-45.0,-49.55555555555556,-51.333333333333336,,-57.666666666666664,1
-44.2,-43.875,-45.0,-45.0,-49.666666666666664,-51.44444444444444,-55.0,-57.333333333333336,1
-44.166666666666664,-43.875,-45.0,-45.333333333333336,-49.55555555555556,-51.111111111111114,,-57.44444444444444,1
-45.42857142857143,-43.875,-43.5,-46.0,-49.666666666666664,-51.44444444444444,-55.0,-57.55555555555556,1
-45.75,-44.142857142857146,-44.8,-45.57142857142857,-49.666666666666664,-51.111111111111114,,-57.0,1
-47.666666666666664,-43.857142857142854,-44.666666666666664,-45.2,-49.666666666666664,-51.111111111111114,-55.0,-56.77777777777778,1
-48.166666666666664,-44.0,-45.0,-44.0,-49.77777777777778,-51.666666666666664,,-55.666666666666664,1
