C0-56-27-18-69-66,C0-56-27-18-69-64,C0-56-27-1B-F3-F5,D8-84-66-13-10-00,D8-84-66-13-10-08,D8-84-66-12-51-60,C0-56-27-18-69-65,C0-56-27-1B-9D-C5,loc
-46.0,-44.16666666666666,-45.0,-46.2,-49.88888888888889,-51.555555555555564,,-57.111111111111114,1
-44.111111111111114,-43.85714285714285,-45.66666666666666,-46.0,-49.77777777777778,-51.33333333333334,,-57.66666666666666,1
-43.5,-43.33333333333334,-45.66666666666666,-45.0,-49.555555555555564,-51.33333333333334,,-57.66666666666666,1
-44.2,-43.875,-45.0,-45.0,-49.66666666666666,-51.444444444444436,-55.0,-57.33333333333334,1
-44.16666666666666,-43.875,-45.0,-45.33333333333334,-49.555555555555564,-51.111111111111114,,-57.444444444444436,1
-45.42857142857143,-43.875,-43.5,-46.0,-49.66666666666666,-51.444444444444436,-55.0,-57.555555555555564,1
-45.75,-44.14285714285715,-44.8,-45.57142857142857,-49.66666666666666,-51.111111111111114,,-57.0,1
-47.66666666666666,-43.85714285714285,-44.66666666666666,-45.2,-49.66666666666666,-51.111111111111114,-55.0,-56.77777777777778,1
-48.16666666666666,-44.0,-45.0,-44.0,-49.77777777777778,-51.66666666666666,,-55.66666666666666,1
-43.66666666666666,-44.0,-47.5,-46.2,-49.444444444444436,-51.111111111111114,-55.0,-56.33333333333334,1
-44.0,-43.0,-45.5,-45.66666666666666,-49.444444444444436,-50.88888888888889,-54.5,-56.444444444444436,1
-45.14285714285714,-43.14285714285715,-45.5,-45.0,-49.444444444444436,-51.0,-55.0,-56.33333333333334,1
-44.0,-43.42857142857143,-45.83333333333334,-43.66666666666666,-49.444444444444436,-51.0,-55.0,-56.555555555555564,1
-43.8,-43.42857142857143,-45.2,-46.0,-49.444444444444436,-50.88888888888889,-55.0,-56.66666666666666,1
-44.0,-43.125,-45.375,-45.25,-49.33333333333334,-51.0,-54.5,-56.555555555555564,1
-44.2,-43.85714285714285,-45.6,-46.5,-49.555555555555564,-51.111111111111114,-55.0,-57.66666666666666,1
-46.33333333333334,-45.28571428571429,-44.5,,-49.77777777777778,-51.33333333333334,,-56.0,1
-46.2,-43.25,-43.0,-45.0,-49.88888888888889,-51.111111111111114,-55.0,-57.88888888888889,1
-48.28571428571429,-43.0,-44.85714285714285,-44.75,-49.75,-51.444444444444436,-54.8,-57.88888888888889,1
-44.0,-43.66666666666666,-44.5,-44.25,-49.77777777777778,-51.33333333333334,,-56.88888888888889,1
-48.33333333333334,-46.14285714285714,-47.33333333333334,-47.444444444444436,-51.0,-53.66666666666666,-56.22222222222222,-58.14285714285714,2
-48.714285714285715,-45.83333333333334,-47.66666666666666,-48.111111111111114,-47.5,-53.88888888888889,-57.22222222222222,-56.85714285714285,2
-44.0,-43.57142857142857,-47.555555555555564,-47.66666666666666,-48.0,-53.88888888888889,-56.111111111111114,-59.14285714285714,2
-44.0,-44.75,-47.66666666666666,-47.33333333333334,-48.0,-53.77777777777778,-56.111111111111114,-56.5,2
-44.0,-43.85714285714285,-47.555555555555564,-47.0,-48.0,-53.77777777777778,-56.111111111111114,-57.83333333333334,2
-47.25,-44.75,-47.555555555555564,-47.0,-48.0,-54.0,-56.0,-55.75,2
-45.42857142857143,-45.25,-47.444444444444436,-47.0,-47.25,-54.0,-56.111111111111114,-55.625,2
-48.66666666666666,-43.6,-47.66666666666666,-46.33333333333334,-47.0,-53.77777777777778,-56.33333333333334,-58.0,2
-44.0,-44.0,-48.33333333333334,-47.555555555555564,-47.5,-54.0,-56.125,-57.0,2
-44.2,-43.66666666666666,-47.66666666666666,-47.22222222222222,-47.0,-53.88888888888889,-56.0,-57.83333333333334,2
-43.0,-44.5,-47.88888888888889,-47.22222222222222,-47.0,-53.77777777777778,-56.0,-57.6,2
-46.0,-43.16666666666666,-47.444444444444436,-47.0,-47.0,-53.77777777777778,-56.0,-57.4,2
-44.5,-43.5,-47.555555555555564,-47.0,,-53.66666666666666,-56.111111111111114,-57.6,2
-44.33333333333334,-44.16666666666666,-47.555555555555564,-47.0,,-53.88888888888889,-56.0,-57.5,2
-43.0,-43.714285714285715,-47.444444444444436,-47.555555555555564,-47.0,-53.66666666666666,-56.0,-57.42857142857143,2
-44.0,-43.4,-47.555555555555564,-47.0,-47.0,-53.555555555555564,-56.0,-58.16666666666666,2
-46.6,-43.57142857142857,-47.444444444444436,-47.0,,-53.77777777777778,-56.0,-57.75,2
-44.5,-43.66666666666666,-47.77777777777778,-47.0,-47.66666666666666,-53.555555555555564,-56.0,-59.0,2
-43.5,-45.8,-47.555555555555564,-47.0,-47.0,-54.0,-56.0,-59.75,2
