C0-56-27-18-69-66,C0-56-27-18-69-64,C0-56-27-1B-F3-F5,D8-84-66-13-10-00,D8-84-66-13-10-08,D8-84-66-12-51-60,C0-56-27-18-69-65,C0-56-27-1B-9D-C5,loc
-48.375,-49.0,-47.3,-49.1,-48.0,-58.0,-59.1,-52.333333333333336,2
-48.666666666666664,-49.4,-47.3,-49.4,-48.0,-58.0,-59.3,-52.3,2
-48.55555555555556,-48.6,-47.4,-49.5,-48.0,-58.0,-60.7,-52.1,2
-48.666666666666664,-48.5,-47.4,-49.3,-48.0,-58.2,-61.0,-53.25,2
-49.0,-48.8,-47.5,-49.4,-48.0,-58.0,-61.0,-52.125,2
-48.22222222222222,-48.4,-47.5,-49.1,,-58.0,-61.0,-52.1,2
-49.0,-48.7,-47.6,-49.2,,-58.0,-60.8,-52.125,2
-48.875,-48.6,-47.3,-49.5,-48.0,-58.1,-61.0,-52.22222222222222,2
-48.7,-48.7,-47.3,-49.7,-48.0,-58.1,-60.9,-52.5,2
-48.55555555555556,-48.5,-47.2,-49.5,-48.0,-58.0,-60.9,-52.22222222222222,2
