C0-56-27-18-69-66,C0-56-27-18-69-64,C0-56-27-1B-F3-F5,D8-84-66-13-10-00,D8-84-66-13-10-08,D8-84-66-12-51-60,C0-56-27-18-69-65,C0-56-27-1B-9D-C5,loc
-44.5,-44.25,-46.0,-46.0,-49.2,-51.8,-55.0,-57.4,1
-45.333333333333336,-44.0,-45.0,-43.666666666666664,-49.2,-51.8,,-57.0,1
-44.0,-44.333333333333336,-46.0,-43.5,-49.6,-52.0,,-57.6,1
-45.0,-44.6,-45.0,-46.0,-50.0,-51.6,-55.0,-57.0,1
-46.0,-44.5,-47.0,-47.0,-49.8,-51.6,,-57.2,1
-45.8,-44.2,-44.75,-45.333333333333336,-50.0,-51.6,,-57.0,1
-44.0,-43.75,-45.5,-46.0,-49.8,-51.2,,-57.4,1
-43.5,-43.25,-46.0,-46.0,-49.4,-51.2,,-58.0,1
-44.0,-43.333333333333336,-45.5,-45.0,-49.8,-51.6,,-57.8,1
-44.0,-43.666666666666664,-45.5,-44.666666666666664,-49.8,-51.4,,-57.4,1
-44.0,-44.0,,-45.0,-49.4,-51.2,-55.0,-57.4,1
-44.333333333333336,-44.0,-45.0,-45.666666666666664,-49.6,-51.2,,-57.4,1
-44.25,-43.75,,-45.0,-49.6,-51.2,,-57.4,1
-44.0,-43.75,,,-49.6,-51.2,,-57.8,1
-46.0,-44.0,-43.5,-45.666666666666664,-49.8,-51.6,-55.0,-57.2,1
-47.5,-44.2,-44.0,-46.0,-49.6,-51.0,,-56.8,1
-46.75,-44.0,-45.333333333333336,-45.0,-49.6,-51.2,,-57.0,1
-44.0,-43.8,-45.0,-45.25,-49.6,-51.0,-55.0,-56.8,1
-47.5,-44.0,-44.5,-47.0,-49.8,-51.6,,-56.2,1
-47.666666666666664,-44.0,-46.0,-41.0,-49.8,-51.8,,-55.8,1
-43.5,-43.5,-43.0,-45.5,-49.4,-51.2,-55.0,-55.8,1
-44.0,-44.4,-47.5,-46.666666666666664,-49.6,-51.0,-55.0,-56.6,1
-44.0,-43.0,-46.0,-45.5,-49.4,-51.0,-54.5,-56.6,1
-47.333333333333336,-43.0,-45.0,-45.5,-49.6,-50.8,,-56.2,1
-43.5,-43.0,-45.333333333333336,-45.0,-49.4,-51.0,-55.0,-56.6,1
-44.0,-43.8,-46.0,-44.5,-49.2,-51.0,-55.0,-56.4,1
-44.0,-43.0,-45.666666666666664,-42.666666666666664,-49.6,-51.0,,-56.6,1
-43.666666666666664,-43.0,-45.666666666666664,-45.0,-49.4,-51.0,-55.0,-56.4,1
-44.0,-43.6,-45.0,-46.0,-49.6,-50.8,,-56.8,1
-44.0,-43.0,-44.333333333333336,-45.0,-49.2,-51.0,-55.0,-56.4,1
-44.0,-43.2,-46.0,-45.333333333333336,-49.4,-51.0,-54.0,-56.6,1
-44.0,-44.0,-45.666666666666664,-46.0,-49.4,-51.0,-55.0,-57.0,1
-44.5,-44.0,-45.5,-47.0,-49.6,-51.0,-55.0,-58.0,1
-40.0,-47.333333333333336,-44.0,,-49.8,-51.8,,-55.5,1
-51.666666666666664,-43.2,-44.666666666666664,-46.0,-49.8,-51.0,-55.0,-57.0,1
-44.0,-43.0,-40.0,-45.0,-50.0,-51.2,,-58.0,1
-48.0,-43.5,-45.0,-44.6,-50.0,-51.4,-55.0,-57.2,1
-48.0,-43.0,-44.666666666666664,-44.5,-49.6,-51.4,-54.666666666666664,-58.8,1
-44.25,-43.333333333333336,-45.666666666666664,-45.333333333333336,-49.6,-51.2,-55.0,-57.0,1
-44.0,-43.75,-43.0,-43.5,-50.0,-51.4,,-56.8,1
-48.333333333333336,-44.666666666666664,-47.0,-47.6,-51.0,-53.8,-56.2,-57.75,2
-47.25,-47.25,-47.8,-47.2,,-53.4,-56.4,-58.5,2
-53.666666666666664,-46.5,-47.8,-48.0,,-54.0,-57.8,-56.25,2
-45.0,-44.0,-47.4,-48.0,-47.5,-54.0,-56.2,-57.0,2
,-44.333333333333336,-47.4,-47.8,,-53.8,-56.2,-61.666666666666664,2
-44.0,-43.25,-48.0,-48.0,-48.0,-53.8,-56.0,-57.25,2
-44.0,-45.6,-47.4,-47.0,,-54.0,-56.2,-56.5,2
-44.25,-43.5,-47.6,-47.0,-48.0,-53.8,-56.0,-58.0,2
-43.75,-43.75,-47.6,-47.0,,-53.6,-56.2,-57.666666666666664,2
-48.0,-43.0,-47.4,-47.0,-48.0,-54.0,-56.0,-56.0,2
-44.5,-46.0,-47.6,-47.0,,-54.0,-56.0,-55.4,2
-48.0,-43.25,-47.4,-47.0,-47.25,-54.0,-56.2,-55.75,2
-43.75,-46.4,-47.6,-47.0,-47.0,-53.8,-56.0,-55.8,2
-50.5,-43.666666666666664,-47.8,-46.2,,-53.8,-56.6,-60.0,2
,-44.0,-47.6,-46.4,-47.0,-54.0,-56.0,-57.0,2
-44.0,-44.0,-48.8,-48.0,-48.0,-54.0,-56.0,,2
-44.0,-43.6,-47.6,-47.4,-47.0,-53.8,-56.2,-57.5,2
-44.5,-44.0,-47.8,-47.2,,-54.0,-56.0,-58.0,2
,-44.5,-48.0,-47.4,,-53.6,-56.0,-56.5,2
-50.5,-43.0,-47.8,-47.0,-47.0,-54.0,-56.0,-58.333333333333336,2
-43.333333333333336,-43.333333333333336,-47.4,-47.0,-47.0,-53.6,-56.0,-57.333333333333336,2
-44.0,-43.0,-47.6,-47.0,,-53.8,-56.0,-57.333333333333336,2
-44.5,-43.333333333333336,-47.6,-47.0,,-53.6,-56.0,-57.75,2
-44.0,-44.0,-47.4,-47.0,,-53.8,-56.2,-57.5,2
-44.5,-44.25,-47.4,-47.0,,-54.0,-56.0,-57.5,2
-43.0,-43.75,-47.4,-47.6,,-53.6,-56.0,-57.666666666666664,2
-43.0,-43.666666666666664,-47.6,-47.4,-47.0,-53.8,-56.0,-57.25,2
-44.0,-44.0,-47.6,-47.0,-47.0,-53.6,-56.0,-58.0,2
-44.5,-43.25,-47.6,-47.0,-47.0,-53.6,-56.0,-58.0,2
-43.666666666666664,-44.0,-47.4,-47.0,,-54.0,-56.0,-58.0,2
-57.0,-43.0,-47.4,-47.0,-48.0,-53.4,-56.0,-58.0,2
-44.5,-44.0,-47.8,-47.0,-47.5,-53.4,-56.0,-58.0,2
-44.0,-44.0,-47.8,-47.0,-47.0,-54.0,-56.0,-61.0,2
-43.0,-42.666666666666664,-47.4,-47.0,,-54.0,-56.0,-60.333333333333336,2
-43.666666666666664,-50.0,-48.0,-47.0,,-53.8,-56.0,-58.0,2
-44.0,-43.75,-47.6,-47.0,,-53.8,-56.0,-58.0,2
-44.0,-50.0,-47.4,-47.0,,-54.0,-56.2,-58.0,2
-45.0,-43.0,-48.0,-47.0,,-53.8,-56.25,-58.5,2
-47.25,-43.75,-47.8,-47.0,,-54.0,-56.2,-58.0,2
-54.0,-43.8,-47.8,-47.0,,-54.0,-56.0,-60.0,2
-43.666666666666664,-44.0,-47.6,-47.0,,-54.0,-56.0,-57.2,2
-44.5,-45.333333333333336,-48.6,-50.2,,-53.8,-56.8,-58.0,2
-45.0,-45.666666666666664,-48.2,-47.6,-49.5,-53.8,-58.6,-56.5,2
-43.666666666666664,-44.4,-47.6,-47.0,,-53.6,-56.6,-56.6,2
-44.0,-44.0,-48.0,-47.6,,-54.0,-56.0,-56.0,2
,,-48.0,-48.0,,-54.0,-56.0,,2
,,-48.0,-48.0,,-54.0,-56.0,,2
,,-48.0,-48.0,,-54.0,-56.0,,2
,,-48.0,-48.0,,-54.0,-56.0,,2
-51.666666666666664,-43.333333333333336,-47.8,-48.0,,-53.4,-56.0,-58.666666666666664,2
-43.75,-44.0,-47.8,-48.2,,-54.0,-56.0,-56.0,2
-45.5,-46.25,-47.8,-47.2,-47.5,-53.2,-56.4,-57.75,2
-47.0,-46.0,-47.6,-48.0,-47.0,-53.6,-56.4,-56.4,2
-48.5,-48.75,-47.8,-48.2,-47.0,-53.4,-56.2,-55.25,2
-47.0,-47.0,-47.6,-48.6,-47.5,-53.6,-56.4,-55.6,2
-46.5,-47.0,-47.6,-48.0,,-53.4,-56.0,-57.5,2
-48.8,-46.0,-47.0,-48.6,,-53.4,-56.0,-55.8,2
-47.0,-47.0,-47.4,-47.4,,-53.8,-56.2,-57.8,2
,,-47.6,-48.8,,-53.6,-56.4,-56.0,2
,-46.0,-47.8,-48.0,-47.0,-53.8,-56.4,-57.6,2
-49.0,-46.5,-47.6,-48.4,,-54.0,-56.0,-57.0,2
-47.0,-46.5,-47.4,-48.0,-48.0,-53.8,-56.2,-55.6,2
-46.75,-46.75,-47.6,-47.8,-47.0,-53.75,-56.0,-57.666666666666664,2
-46.75,-46.0,-47.6,-46.2,-47.666666666666664,-54.0,-56.0,-57.25,2
-46.0,-48.0,-48.0,-47.2,,-53.8,-56.0,-57.666666666666664,2
-45.5,-52.0,-47.2,-49.0,-47.0,-54.0,-56.0,-61.0,2
-51.0,-47.0,-47.4,-49.0,-48.0,-54.0,-56.2,-60.0,2
-46.0,-47.0,-47.6,-49.0,-48.0,-54.0,-56.0,-59.333333333333336,2
-47.0,-46.5,-47.4,-49.2,,-54.0,-56.2,-57.8,2
-50.5,-46.25,-47.4,-50.0,-48.0,-54.0,-56.0,-58.25,2
-49.666666666666664,-49.333333333333336,-47.2,-50.0,,-54.4,-56.0,-56.8,2
-51.0,-49.0,-47.4,-49.2,-47.0,-54.0,-56.4,-57.5,2
-48.5,-47.8,-47.4,-49.2,,-53.8,-56.4,-59.333333333333336,2
-49.5,-47.0,-47.6,-50.0,,-53.6,-56.0,-59.0,2
-49.333333333333336,-46.25,-47.4,-49.4,,-53.6,-56.2,-58.6,2
-47.0,-47.0,-47.6,-48.0,,-54.0,-56.2,-57.0,2
-47.0,-46.5,-47.6,-47.6,,-53.6,-56.0,-62.0,2
-46.75,-46.75,-47.6,-47.0,-47.0,-53.2,-56.2,-57.0,2
-50.4,-46.5,-47.8,-47.2,,-53.6,-56.2,-58.0,2
-47.0,-48.0,-49.0,-48.6,-47.0,-53.8,-57.2,-54.666666666666664,2
-49.0,-51.0,-49.0,-48.6,-49.666666666666664,-53.8,-57.4,-60.666666666666664,2
-50.5,-48.75,-47.8,-47.8,,-53.4,-56.4,-58.0,2
-51.333333333333336,-46.5,-47.4,-46.4,-48.0,-53.6,-56.2,-58.6,2
-46.666666666666664,-48.75,-48.0,-46.2,,-53.6,-56.2,-57.8,2
-47.0,-47.0,-47.8,-46.4,-48.0,-53.8,-56.4,-60.0,2
-48.4,-48.5,-47.8,-47.8,,-53.6,-56.8,-58.666666666666664,2
-47.0,-47.0,-47.8,-47.4,,-53.8,-56.0,-58.25,2
-49.333333333333336,-46.666666666666664,-47.2,-47.0,,-53.5,-56.2,-58.4,2
-51.2,-47.0,-47.6,-47.0,,-53.8,-56.0,-58.5,2
-51.0,-46.2,-47.6,-48.2,,-53.6,-56.0,-57.75,2
